Member id,SEC,FEH,MT,SEX,AGE,EDU,HS,CHILD,CS,Affluence Index,No.of.Brands,Brand Runs,Total Volume,No. of  Trans,Value,Trans / Brand Runs,Vol/Tran,Avg.Price,Pur.Vol.No.Promo,Pur Vol Promo 6 %,Pur Vol Other Promo %,"Br. Cd. 57, 144",Br. Cd. 55,Br. Cd. 272,Br. Cd. 286,Br. Cd. 24,Br. Cd. 481,Br. Cd. 352,Br. Cd. 5,Others 999,Pr Cat 1,Pr Cat 2,Pr Cat 3,Pr Cat 4,PropCat 5,PropCat 6,PropCat 7,PropCat 8,PropCat 9,PropCat 10,PropCat 11,PropCat 12,PropCat 13,PropCat 14,PropCat 15
1010010,4,3,10,1,4,4,2,4,1,2,3,17,8025,24,818,1.41,334.38,10.19,100%,0%,0%,38%,13%,0%,0%,0%,0%,0%,0%,49.20%,23%,56%,13%,7%,50%,0%,0%,0%,0%,0%,0%,3%,0%,13%,34%
1010020,3,2,10,2,2,4,4,2,1,19,5,25,13975,40,1681.5,1.6,349.38,12.03,89%,10%,2%,2%,8%,0%,0%,0%,6%,0%,14%,69.90%,29%,55%,9%,6%,46%,35%,3%,2%,1%,0%,6%,0%,0%,8%,0%
1014020,2,3,10,2,4,5,6,4,1,23,5,37,23100,63,1950,1.7,366.67,8.44,94%,2%,4%,3%,55%,0%,3%,0%,0%,0%,2%,37.90%,12%,32%,56%,0%,24%,12%,3%,1%,1%,0%,0%,2%,0%,56%,0%
1014030,4,0,0,0,4,0,0,5,0,0,2,4,1500,4,114,1,375,7.6,100%,0%,0%,40%,60%,0%,0%,0%,0%,0%,0%,0.00%,0%,40%,60%,0%,40%,0%,0%,0%,0%,0%,0%,0%,0%,60%,0%
1014190,4,1,10,2,3,4,4,3,1,10,3,6,8300,13,591,2.17,638.46,7.12,61%,14%,24%,5%,14%,0%,0%,0%,0%,0%,0%,80.70%,0%,5%,14%,81%,81%,0%,0%,5%,0%,0%,0%,0%,0%,14%,0%
1017020,4,3,10,2,3,4,5,2,1,13,3,26,18175,41,1705.5,1.58,443.29,9.38,100%,0%,0%,8%,7%,0%,0%,0%,0%,0%,0%,85.70%,22%,45%,7%,27%,49%,10%,0%,1%,7%,0%,0%,0%,0%,7%,27%
1017110,4,2,10,2,4,1,3,2,1,11,4,17,9950,26,1007.5,1.53,382.69,10.13,98%,2%,0%,45%,5%,1%,0%,0%,0%,0%,0%,49.50%,7%,66%,5%,23%,82%,0%,2%,1%,0%,0%,0%,0%,0%,5%,10%
1017160,4,3,10,2,2,4,5,3,0,0,3,8,9300,25,569.5,3.13,372,6.12,94%,0%,6%,4%,79%,0%,0%,0%,0%,0%,0%,16.70%,4%,4%,90%,2%,6%,0%,0%,0%,0%,0%,0%,1%,0%,90%,3%
1017360,4,3,10,2,4,4,6,4,1,17,2,12,26490,27,3113.5,2.25,981.11,11.75,90%,10%,0%,39%,0%,0%,0%,0%,0%,0%,0%,61.50%,11%,89%,0%,0%,70%,28%,0%,0%,2%,0%,0%,0%,0%,0%,0%
1017460,1,3,5,1,4,7,3,4,1,6,4,13,7455,18,990.5,1.38,414.17,13.29,100%,0%,0%,7%,12%,0%,0%,0%,0%,0%,40%,41.00%,61%,10%,12%,17%,24%,46%,15%,0%,0%,0%,0%,0%,0%,12%,3%
